symbol,company_name,isin,series,market_cap_cr
ASIANTNE,Asian Tea & Exports Limited,INE822B01017,EQ,0
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ,8450.52
ASMS,Avio Smart Market Stack Limited,INE855F01042,BE,0
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ,0
ASSAMENT,Assam Entrade Limited,INE165G01010,EQ,0
ASTAR,Asian Star Company Limited,INE194D01017,EQ,1019.63
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ,1713.5
ASTERDM,Aster DM Quality Care Limited,INE914M01019,EQ,42224.27
ASTRAL,Astral Limited,INE006I01046,EQ,40485.58
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ,13717.18
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ,20609.75
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,BZ,0
ATALREAL,Atal Realtech Limited,INE0ALR01029,EQ,0
ATAM,Atam Valves Limited,INE09KD01013,EQ,0
ATGL,Adani Total Gas Limited,INE399L01023,EQ,80093.67
ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ,39390.58
ATL,Allcargo Terminals Limited,INE0NN701020,EQ,0
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ,0
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,EQ,14164.36
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,EQ,0
ATUL,Atul Limited,INE100A01010,EQ,19177.03
ATULAUTO,Atul Auto Limited,INE951D01028,EQ,1262.82
AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ,76060.71
AUGMONT,Augmont Enterprises Limited,INE16W401027,EQ,0
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ,4284.71
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ,85508.52
AURUM,Aurum PropTech Limited,INE898S01029,EQ,1394.49
AURUS,AURUS GEM CORPORATION LIMITED,INE142K01011,EQ,0
AUSOMENT,Ausom Enterprise Limited,INE218C01016,EQ,0
AUSTENG,Austin Engineering Company  Limited,INE759F01012,EQ,0
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ,2545.66
AUTOIND,Autoline Industries Limited,INE718H01014,EQ,0
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ,0
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ,11250.05
AVANCE,Avance Technologies Limited,INE758A01072,EQ,0
AVANTEL,Avantel Limited,INE005B01027,EQ,4426.74
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ,14442.04
AVG,AVG Logistics Limited,INE680Z01018,BE,0
AVL,Aditya Vision Limited,INE679V01027,EQ,6962.48
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ,0
AVROIND,AVRO INDIA LIMITED,INE652Z01025,EQ,0
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ,1074.06
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ,2175.88
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ,1265.27
AWL,AWL Agri Business Limited,INE699H01024,EQ,24771.87
AXISBANK,Axis Bank Limited,INE238A01034,EQ,421610.1
AXISCADES,AXISCADES Technologies Limited,INE555B01013,EQ,8332.03
AXITA,Axita Cotton Limited,INE02EZ01022,EQ,0
AXTEL,Axtel Industries Limited,INE767C01012,EQ,0
AYE,Aye Finance Limited,INE501X01029,EQ,3701.76
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ,1293.32
AZAD,Azad Engineering Limited,INE02IJ01035,EQ,13859.89
AZADIND,Azad India Mobility Limited,INE566M01017,EQ,0
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,BE,0
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ,0
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ,0
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,281246.1
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ,7754.34
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ,3588.72
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,270372.91
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ,1020.65
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ,70466.55
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ,4532.7
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ,113081.44
